"year","unitid","inst_name","state_name","inst_control","cc_basic_2015","default_rate","completion_rate_150pct"
"2016","142832","Adler University","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.018",""
"2016","142887","American Academy of Art","Illinois","Private not-for-profit","Special focus four-year: arts, music, and design schools","0.043","0.619"
"2016","142957","American Islamic College","Illinois","Private not-for-profit","Not applicable","",""
"2016","143048","School of the Art Institute of Chicago","Illinois","Private not-for-profit","Special focus four-year: arts, music, and design schools","0.061","0.656"
"2016","143084","Augustana College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.027","0.749"
"2016","143118","Aurora University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.044","0.532"
"2016","143288","Blackburn College","Illinois","Private not-for-profit","Baccalaureate colleges: diverse fields","0.094","0.475"
"2016","143297","Blessing Rieman College of Nursing and Health Sciences","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.072",""
"2016","143358","Bradley University","Illinois","Private not-for-profit","Master's colleges & universities: medium programs","0.027","0.727"
"2016","143659","Catholic Theological Union at Chicago","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.021",""
"2016","143853","Midwestern University-Downers Grove","Illinois","Private not-for-profit","Special focus four-year: medical schools and centers","0.003",""
"2016","143978","The Chicago School of Professional Psychology at Chicago","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.034",""
"2016","144005","Chicago State University","Illinois","Public","Master's colleges & universities: medium programs","0.105","0.13"
"2016","144014","Chicago Theological Seminary","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0",""
"2016","144050","University of Chicago","Illinois","Private not-for-profit","Doctoral universities: highest research activity","0.013","0.928"
"2016","144281","Columbia College Chicago","Illinois","Private not-for-profit","Master's colleges & universities: medium programs","0.094","0.44"
"2016","144351","Concordia University-Chicago","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.038","0.478"
"2016","144740","DePaul University","Illinois","Private not-for-profit","Doctoral universities: moderate research activity","0.038","0.708"
"2016","144883","East-West University","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.25","0.109"
"2016","144892","Eastern Illinois University","Illinois","Public","Master's colleges & universities: larger programs","0.054","0.563"
"2016","144962","Elmhurst College","Illinois","Private not-for-profit","Master's colleges & universities: medium programs","0.032","0.644"
"2016","144971","Eureka College","Illinois","Private not-for-profit","Baccalaureate colleges: diverse fields","0.084","0.44"
"2016","145275","Garrett-Evangelical Theological Seminary","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.068",""
"2016","145336","Governors State University","Illinois","Public","Master's colleges & universities: larger programs","0.051",""
"2016","145372","Greenville College","Illinois","Private not-for-profit","Master's colleges & universities: small programs","0.042","0.424"
"2016","145497","Hebrew Theological College","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0","0.071"
"2016","145558","Rosalind Franklin University of Medicine and Science","Illinois","Private not-for-profit","Special focus four-year: medical schools and centers","0.019",""
"2016","145600","University of Illinois at Chicago","Illinois","Public","Doctoral universities: highest research activity","0.027","0.566"
"2016","145619","Benedictine University","Illinois","Private not-for-profit","Doctoral universities: moderate research activity","0.055","0.498"
"2016","145628","Illinois College of Optometry","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.006",""
"2016","145637","University of Illinois at Urbana-Champaign","Illinois","Public","Doctoral universities: highest research activity","0.017","0.85"
"2016","145646","Illinois Wesleyan University","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.018","0.784"
"2016","145691","Illinois College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.044","0.601"
"2016","145725","Illinois Institute of Technology","Illinois","Private not-for-profit","Doctoral universities: higher research activity","0.027","0.722"
"2016","145813","Illinois State University","Illinois","Public","Doctoral universities: higher research activity","0.03","0.688"
"2016","145886","Institute for Clinical Social Work","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.054",""
"2016","146241","The John Marshall Law School","Illinois","Private not-for-profit","Special focus four-year: law schools","0.008",""
"2016","146339","Judson University","Illinois","Private not-for-profit","Master's colleges & universities: small programs","0.041","0.545"
"2016","146427","Knox College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.02","0.761"
"2016","146481","Lake Forest College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.059","0.724"
"2016","146490","Lake Forest Graduate School of Management","Illinois","Private not-for-profit","Special focus four-year: business and management schools","0.016",""
"2016","146533","Lakeview College of Nursing","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.031",""
"2016","146612","Lewis University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.046","0.67"
"2016","146667","Lincoln Christian University","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.057","0.667"
"2016","146676","Lincoln College","Illinois","Private not-for-profit","Baccalaureate/associate's colleges: mixed baccalaureate/associate's","0.087","0.313"
"2016","146719","Loyola University Chicago","Illinois","Private not-for-profit","Doctoral universities: higher research activity","0.029","0.772"
"2016","146728","Lutheran School of Theology at Chicago","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.031",""
"2016","146755","Trinity College of Nursing & Health Sciences","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.048","1"
"2016","146825","MacMurray College","Illinois","Private not-for-profit","Baccalaureate colleges: diverse fields","0.127","0.429"
"2016","146977","McCormick Theological Seminary","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.018",""
"2016","147013","McKendree University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.059","0.512"
"2016","147031","Meadville Lombard Theological School","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.017",""
"2016","147129","Methodist College","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.038","0.417"
"2016","147244","Millikin University","Illinois","Private not-for-profit","Baccalaureate colleges: diverse fields","0.055","0.606"
"2016","147341","Monmouth College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.055","0.599"
"2016","147369","Moody Bible Institute","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","","0.594"
"2016","147536","National Louis University","Illinois","Private not-for-profit","Doctoral universities: moderate research activity","0.036","0.5"
"2016","147590","National University of Health Sciences","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.047",""
"2016","147660","North Central College","Illinois","Private not-for-profit","Master's colleges & universities: medium programs","0.047","0.688"
"2016","147679","North Park University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.059","0.586"
"2016","147697","Northern Baptist Theological Seminary","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","0.034",""
"2016","147703","Northern Illinois University","Illinois","Public","Doctoral universities: higher research activity","0.08","0.45"
"2016","147767","Northwestern University","Illinois","Private not-for-profit","Doctoral universities: highest research activity","0.01","0.938"
"2016","147776","Northeastern Illinois University","Illinois","Public","Master's colleges & universities: larger programs","0.069","0.23"
"2016","147828","Olivet Nazarene University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.04","0.663"
"2016","148016","Principia College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","","0.845"
"2016","148131","Quincy University","Illinois","Private not-for-profit","Master's colleges & universities: medium programs","0.065","0.457"
"2016","148335","Robert Morris University Illinois","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.047","0.391"
"2016","148405","Rockford University","Illinois","Private not-for-profit","Master's colleges & universities: small programs","0.082","0.415"
"2016","148487","Roosevelt University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.059","0.399"
"2016","148496","Dominican University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.045","0.621"
"2016","148511","Rush University","Illinois","Private not-for-profit","Special focus four-year: medical schools and centers","0.007",""
"2016","148575","Saint Francis Medical Center College of Nursing","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.025",""
"2016","148584","University of St Francis","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.027","0.628"
"2016","148593","St. John's College-Department of Nursing","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.033",""
"2016","148627","Saint Xavier University","Illinois","Private not-for-profit","Master's colleges & universities: larger programs","0.053","0.524"
"2016","148654","University of Illinois at Springfield","Illinois","Public","Master's colleges & universities: larger programs","0.046","0.502"
"2016","148849","Shimer College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","",""
"2016","148876","Saint Augustine College","Illinois","Private not-for-profit","Baccalaureate/associate's colleges: mixed baccalaureate/associate's","","0.394"
"2016","148885","University of Saint Mary of the Lake","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","",""
"2016","148982","Spertus College","Illinois","Private not-for-profit","Special focus four-year: other special focus institutions","0.108",""
"2016","149028","Saint Anthony College of Nursing","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0","1"
"2016","149222","Southern Illinois University-Carbondale","Illinois","Public","Doctoral universities: higher research activity","0.097","0.401"
"2016","149231","Southern Illinois University-Edwardsville","Illinois","Public","Master's colleges & universities: larger programs","0.068","0.485"
"2016","149240","Southern Illinois University-System Office","Illinois","Public","Not applicable","",""
"2016","149329","Telshe Yeshiva-Chicago","Illinois","Private not-for-profit","Special focus four-year: faith-related institutions","","0.227"
"2016","149505","Trinity Christian College","Illinois","Private not-for-profit","Baccalaureate colleges: diverse fields","0.054","0.688"
"2016","149514","Trinity International University-Illinois","Illinois","Private not-for-profit","Doctoral universities: moderate research activity","0.074","0.516"
"2016","149587","University of Illinois University Administration","Illinois","Public","Not applicable","",""
"2016","149639","VanderCook College of Music","Illinois","Private not-for-profit","Special focus four-year: arts, music, and design schools","0.073","0.762"
"2016","149763","Resurrection University","Illinois","Private not-for-profit","Special focus four-year: other health professions schools","0.015",""
"2016","149772","Western Illinois University","Illinois","Public","Master's colleges & universities: larger programs","0.076","0.504"
"2016","149781","Wheaton College","Illinois","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.012","0.889"
"2016","156189","Alice Lloyd College","Kentucky","Private not-for-profit","Baccalaureate colleges: diverse fields","0.142","0.555"
"2016","156213","Asbury University","Kentucky","Private not-for-profit","Master's colleges & universities: small programs","0.061","0.688"
"2016","156222","Asbury Theological Seminary","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","0.02",""
"2016","156286","Bellarmine University","Kentucky","Private not-for-profit","Master's colleges & universities: larger programs","0.039","0.645"
"2016","156295","Berea College","Kentucky","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.06","0.659"
"2016","156356","Brescia University","Kentucky","Private not-for-profit","Baccalaureate colleges: diverse fields","0.098","0.387"
"2016","156365","Campbellsville University","Kentucky","Private not-for-profit","Master's colleges & universities: larger programs","0.135","0.337"
"2016","156408","Centre College","Kentucky","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.004","0.824"
"2016","156417","Clear Creek Baptist Bible College","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","","0.5"
"2016","156541","University of the Cumberlands","Kentucky","Private not-for-profit","Doctoral universities: moderate research activity","0.067","0.409"
"2016","156620","Eastern Kentucky University","Kentucky","Public","Master's colleges & universities: larger programs","0.101","0.438"
"2016","156727","Frontier Nursing University","Kentucky","Private not-for-profit","Special focus four-year: other health professions schools","0.025",""
"2016","156745","Georgetown College","Kentucky","Private not-for-profit","Baccalaureate colleges: arts & sciences focus","0.043","0.534"
"2016","157030","Kentucky Mountain Bible College","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","0.042","0.714"
"2016","157058","Kentucky State University","Kentucky","Public","Baccalaureate colleges: diverse fields","0.206","0.204"
"2016","157076","Kentucky Wesleyan College","Kentucky","Private not-for-profit","Baccalaureate colleges: diverse fields","0.107","0.319"
"2016","157085","University of Kentucky","Kentucky","Public","Doctoral universities: highest research activity","0.053","0.65"
"2016","157100","Kentucky Christian University","Kentucky","Private not-for-profit","Baccalaureate colleges: diverse fields","0.127","0.325"
"2016","157207","Lexington Theological Seminary","Kentucky","Private not-for-profit","Special focus four-year: faith-related institutions","0",""
"2016","157216","Lindsey Wilson College","Kentucky","Private not-for-profit","Master's colleges & universities: larger programs","0.097","0.352"
