"year","unitid","inst_name","state_name","years_after_entry","earnings_mean"
"2014","143048","School of the Art Institute of Chicago","Illinois","10","40800"
"2014","143048","School of the Art Institute of Chicago","Illinois","6","28800"
"2014","143048","School of the Art Institute of Chicago","Illinois","8","34700"
"2014","143084","Augustana College","Illinois","10","56400"
"2014","143084","Augustana College","Illinois","6","41100"
"2014","143084","Augustana College","Illinois","8","48800"
"2014","143118","Aurora University","Illinois","10","46200"
"2014","143118","Aurora University","Illinois","6","39200"
"2014","143118","Aurora University","Illinois","8","43900"
"2014","143288","Blackburn College","Illinois","10","41700"
"2014","143288","Blackburn College","Illinois","6","29600"
"2014","143288","Blackburn College","Illinois","8","35700"
"2014","143297","Blessing Rieman College of Nursing","Illinois","10","51000"
"2014","143297","Blessing Rieman College of Nursing","Illinois","6","48800"
"2014","143297","Blessing Rieman College of Nursing","Illinois","8","51700"
"2014","143358","Bradley University","Illinois","10","58300"
"2014","143358","Bradley University","Illinois","6","45900"
"2014","143358","Bradley University","Illinois","8","50600"
"2014","143853","Midwestern University-Downers Grove","Illinois","10","133700"
"2014","143853","Midwestern University-Downers Grove","Illinois","6","89200"
"2014","143853","Midwestern University-Downers Grove","Illinois","8","128100"
"2014","144005","Chicago State University","Illinois","10","38200"
"2014","144005","Chicago State University","Illinois","6","32200"
"2014","144005","Chicago State University","Illinois","8","34700"
"2014","144050","University of Chicago","Illinois","10","103000"
"2014","144050","University of Chicago","Illinois","6","72100"
"2014","144050","University of Chicago","Illinois","8","89700"
"2014","144281","Columbia College-Chicago","Illinois","10","39200"
"2014","144281","Columbia College-Chicago","Illinois","6","29500"
"2014","144281","Columbia College-Chicago","Illinois","8","34900"
"2014","144351","Concordia University-Chicago","Illinois","10","42700"
"2014","144351","Concordia University-Chicago","Illinois","6","38700"
"2014","144351","Concordia University-Chicago","Illinois","8","39100"
"2014","144740","DePaul University","Illinois","10","60200"
"2014","144740","DePaul University","Illinois","6","46000"
"2014","144740","DePaul University","Illinois","8","52800"
"2014","144883","East-West University","Illinois","10","29000"
"2014","144883","East-West University","Illinois","6","22500"
"2014","144883","East-West University","Illinois","8","25300"
"2014","144892","Eastern Illinois University","Illinois","10","46000"
"2014","144892","Eastern Illinois University","Illinois","6","35500"
"2014","144892","Eastern Illinois University","Illinois","8","40900"
"2014","144962","Elmhurst College","Illinois","10","51600"
"2014","144962","Elmhurst College","Illinois","6","42700"
"2014","144962","Elmhurst College","Illinois","8","46800"
"2014","144971","Eureka College","Illinois","10","40500"
"2014","144971","Eureka College","Illinois","6","33200"
"2014","144971","Eureka College","Illinois","8","37500"
"2014","145275","Garrett-Evangelical Theological Seminary","Illinois","10","Suppressed data"
"2014","145275","Garrett-Evangelical Theological Seminary","Illinois","6","Suppressed data"
"2014","145275","Garrett-Evangelical Theological Seminary","Illinois","8","Suppressed data"
"2014","145336","Governors State University","Illinois","10","44000"
"2014","145336","Governors State University","Illinois","6","40300"
"2014","145336","Governors State University","Illinois","8","41700"
"2014","145372","Greenville College","Illinois","10","39900"
"2014","145372","Greenville College","Illinois","6","33200"
"2014","145372","Greenville College","Illinois","8","37600"
"2014","145497","Hebrew Theological College","Illinois","10","26700"
"2014","145497","Hebrew Theological College","Illinois","6","25800"
"2014","145497","Hebrew Theological College","Illinois","8","30900"
"2014","145558","Rosalind Franklin University of Medicine and Science","Illinois","10","171800"
"2014","145558","Rosalind Franklin University of Medicine and Science","Illinois","6","79200"
"2014","145558","Rosalind Franklin University of Medicine and Science","Illinois","8","142200"
"2014","145600","University of Illinois at Chicago","Illinois","10","61300"
"2014","145600","University of Illinois at Chicago","Illinois","6","43100"
"2014","145600","University of Illinois at Chicago","Illinois","8","54300"
"2014","145619","Benedictine University","Illinois","10","56400"
"2014","145619","Benedictine University","Illinois","6","43700"
"2014","145619","Benedictine University","Illinois","8","50400"
"2014","145628","Illinois College of Optometry","Illinois","10","92800"
"2014","145628","Illinois College of Optometry","Illinois","6","96300"
"2014","145628","Illinois College of Optometry","Illinois","8","98200"
"2014","145637","University of Illinois at Urbana-Champaign","Illinois","10","70900"
"2014","145637","University of Illinois at Urbana-Champaign","Illinois","6","52300"
"2014","145637","University of Illinois at Urbana-Champaign","Illinois","8","59600"
"2014","145646","Illinois Wesleyan University","Illinois","10","67300"
"2014","145646","Illinois Wesleyan University","Illinois","6","43300"
"2014","145646","Illinois Wesleyan University","Illinois","8","54600"
"2014","145691","Illinois College","Illinois","10","49100"
"2014","145691","Illinois College","Illinois","6","34300"
"2014","145691","Illinois College","Illinois","8","40400"
"2014","145725","Illinois Institute of Technology","Illinois","10","78000"
"2014","145725","Illinois Institute of Technology","Illinois","6","60400"
"2014","145725","Illinois Institute of Technology","Illinois","8","71600"
"2014","145813","Illinois State University","Illinois","10","51600"
"2014","145813","Illinois State University","Illinois","6","41600"
"2014","145813","Illinois State University","Illinois","8","46700"
"2014","146339","Judson University","Illinois","10","47200"
"2014","146339","Judson University","Illinois","6","38000"
"2014","146339","Judson University","Illinois","8","43100"
"2014","146427","Knox College","Illinois","10","43500"
"2014","146427","Knox College","Illinois","6","31200"
"2014","146427","Knox College","Illinois","8","39500"
"2014","146481","Lake Forest College","Illinois","10","55600"
"2014","146481","Lake Forest College","Illinois","6","41100"
"2014","146481","Lake Forest College","Illinois","8","50900"
"2014","146533","Lakeview College of Nursing","Illinois","10","67600"
"2014","146533","Lakeview College of Nursing","Illinois","6","57400"
"2014","146533","Lakeview College of Nursing","Illinois","8","65800"
"2014","146612","Lewis University","Illinois","10","53600"
"2014","146612","Lewis University","Illinois","6","43800"
"2014","146612","Lewis University","Illinois","8","48900"
"2014","146667","Lincoln Christian University","Illinois","10","37000"
"2014","146667","Lincoln Christian University","Illinois","6","28100"
